ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
VAFELJ, PRELIT Z MLEČNO ČOKOLADO IN DROBLJENIMI LEŠNIKI, S KREMNIM POLNILOM (40,5%) IN S CELIM LEŠNIKOM.|mlečna čokolada 30% (sladkor, kakavovo maslo, kakavova masa, POSNETO MLEKO V PRAHU, KONCENTRIRANO MASLO, EMULGATOR: LECITINI (SOJA) VANILIN), LEŠNIKI (28,5%), sladkor, palmino olje, PŠENIČNA MOKA, SIROTKA V PRAHU (MLEKO), manj masten kakav, EMULGATOR: LECITINI (SOJA), sredstvo za vzhajanje (natrijev bikarbonat), jedilna sol, vanilin.|200g|603,00|42,70 g|14,10 g|44,40 g|39,90 g|0,0 g|8,20 g|0,15 g
BONBONIERA MON CHERI, FERRERO, 157,5G|čokolada 49,00 %, sladkor 18,00 %, kakavova masa 13,00 %, kakavovo maslo, EMULGATOR: LECITINI (SOJA), vanilin, sladkor, cela češnja, sladkor, liker 13% (glukozni sirup, voda, alkohol, sladkor, aroma), kakavovo maslo.|157,5g|455,00|20,30 g|13,20 g|52,80 g|48,30 g|0,0 g|3,00 g|0,01 g
ČAJ ŽAJBELJ MATIK, 18/1, 27G|žajbelj.|27g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SONČNI CVET sončnično olje jedilno rafinirano|jedilno rafinirano sončnično olje 100,00 %.|2l|900,00|100,00 g|12,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
ALPSKO MLEKO POSNETO 1L TBA EDGE|HOMOGENIZIRANO POSNETO MLEKO Z 0,5 % MLEČNE MAŠČOBE.|1l|37,00|0,50 g|0,30 g|4,70 g|4,70 g|0,0 g|3,30 g|0,10 g
NEGAZIRANA BREZALKOHOLNA PIJAČA IZ RASTLINSKIH IZVLEČKOV.|voda 88,00 %, sladkor 9,79 %, sadna baza 1,61 %.|1,5l|37,00|0,00 g|0,00 g|9,10 g|9,10 g|0,0 g|0,00 g|0,00 g
Instant kava brez kofeina liofilizirani kavni ekstrakt.|kava.|100g|315,00|0,30 g|0,20 g|47,00 g|2,00 g|20,00 g|21,00 g|0,80 g
SADNI SIRUP Z OKUSOM POMARANČE IZ ZGOŠČENEGA SOKA POMARANČ Z DODANIM SLADKORJEM IN SLADILI. Z NIZKO ENERGIJSKA VREDNOSTJO. SADNI DELEŽ: 9%.|voda, glukozni-fruktozni sirup, pomarančni sok iz zgoščenega soka pomaranč 9,00 %, kislina (citronska kislina), antioksidant (askorbinska kislina), barvili (beta karoten, beta-apo-8´-karotenal), naravna aroma pomaranče, aroma, stabilizatorja (gumi arabicum, glicerolni estri lesnih smol), sladila: natrijev ciklamat, natrijev saharinat, aspartam (vsebuje vir fenilalanina), acesulfam k, konzervans (kalijev sorbat).|3l|14,00|0,10 g|0,10 g|3,60 g|3,50 g|0,01 g|0,10 g|0,01 g
Polnozrnati ovseni kosmiči.|OVSENI KOSMIČI 100,00 %.|500g|366,00|7,00 g|1,40 g|58,10 g|0,70 g|10,60 g|12,50 g|0,01 g
SADNI SIRUP Z OKUSOM MALINE IZ ZGOŠČENEGA SOKA MALIN IN BEZGOVIH JAGOD Z DODANIM SLADKORJEM IN SLADILI. Z NIZKO ENERGIJSKO VREDNOSTJO. SADNI DELEŽ: 12%.|voda, glukozni-fruktozni sirup, malinov sok iz zgoščenega soka malin 9,00 %, sok iz zgoščenega soka bezgovih jagod 3,00 %, kislina (citronska kislina), sladila: natrijev ciklamat, natrijev saharinat, aspartam (vsebuje vir fenilalanina), acesulfam k, aroma, konzervansa (kalijev sorbat, natrijev benzoat).|3l|14,00|0,10 g|0,10 g|3,60 g|3,50 g|0,01 g|0,10 g|0,01 g
